opportunity_id,deal_amount,discount_pct,stage,days_in_stage,region,product,probability,expected_revenue,anomaly_score,is_anomaly
1,60737.43,6.6,Closed Lost,115,LATAM,Core Payments,0.33,20043.3519,0.015902026467276453,False
2,16654.53,11.4,Negotiation,102,Unknown,Analytics,0.49,8160.7197,0.14625598788042588,False
3,22464.51,8.2,Proposal,58,EMEA,Risk Solutions,0.65,14601.9315,0.1648032864428775,False
4,28127.69,12.1,Proposal,98,LATAM,Risk Solutions,0.89,25033.6441,0.10853472272510489,False
5,13720.5,12.8,Prospecting,86,APAC,Core Payments,0.86,11799.63,0.14588821713525962,False
6,22053.78,12.4,Proposal,56,LATAM,Core Payments,0.68,14996.5704,0.17275644403266877,False
7,22014.7,12.4,Negotiation,21,EMEA,VAS,0.22,4843.234,0.11784557339674706,False
8,7686.07,9.3,Closed Lost,62,EMEA,Risk Solutions,0.78,5995.1346,0.1201794143699853,False
9,40562.32,14.2,Proposal,34,EMEA,VAS,0.58,23526.1456,0.1144908654471759,False
10,31580.63,17.3,Proposal,58,Unknown,Core Payments,0.47,14842.8961,0.14243170010886452,False
11,15134.66,8.9,Prospecting,45,APAC,Core Payments,0.89,13469.8474,0.1250048391833667,False
12,19872.08,11.7,Prospecting,61,LATAM,VAS,0.47,9339.8776,0.17935200691975678,False
13,29827.31,12.3,Closed Lost,44,LATAM,Core Payments,0.81,24160.121100000004,0.14152851740900496,False
14,18829.61,18.3,Proposal,12,APAC,Analytics,0.8,15063.688000000002,0.101001247424795,False
15,19041.01,17.4,Prospecting,110,EMEA,Analytics,0.49,9330.094899999998,0.11736603168674797,False
16,9210.09,8.3,Prospecting,53,Unknown,Core Payments,0.63,5802.3567,0.1420372116979967,False
17,30722.43,12.4,Closed Won,96,LATAM,Risk Solutions,0.72,22120.1496,0.13850465239648024,False
18,23726.04,4.5,Qualified,77,APAC,Analytics,0.45,10676.718,0.1454687442123006,False
19,25969.45,7.2,Prospecting,108,EMEA,Core Payments,0.48,12465.336,0.12977199483385593,False
20,8813.9,12.1,Qualified,104,Unknown,Risk Solutions,0.74,6522.286,0.11283615780564976,False
21,59303.28,15.1,Closed Lost,42,Unknown,Risk Solutions,0.71,42105.3288,0.01290715791856567,False
22,24163.57,16.8,Prospecting,51,EMEA,Core Payments,0.75,18122.6775,0.14403093292971691,False
23,17460.84,10.4,Closed Lost,89,APAC,VAS,0.49,8555.811599999999,0.16704024761056796,False
24,74417.27,5.2,Closed Lost,115,Unknown,VAS,0.38,28278.5626,-0.030890172513406533,True
25,21434.74,14.0,Closed Won,56,EMEA,VAS,0.51,10931.7174,0.17356463657940396,False
26,9224.26,11.1,Negotiation,87,APAC,Core Payments,0.93,8578.561800000001,0.10163339809901684,False
27,17272.37,14.1,Prospecting,48,APAC,Risk Solutions,0.62,10708.8694,0.1688171698929527,False
28,5580.37,12.8,Qualified,94,Unknown,Risk Solutions,0.72,4017.8664,0.09650841804232907,False
